AÑO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2013.0,13,Bolívar,492500.0,89.66,89.55,59.86,87.5,70.4,38.27,103.72,110.14,115.02,101.57,76.86,34.98,52.59,2.56,2.57,2.58,2.66,2.2,94.23,0.42,94.91,2.66,93.72,3.2,0.42,94.91,4.77,4.08,1.91,0.42,2.12,2.19,0.83
2015.0,27,Chocó,145625.0,80.48,80.48,51.99,82.2,47.3,20.35,100.91,91.24,126.13,87.89,63.56,18.79,20.15,4.78,4.27,4.36,6.31,3.02,88.35,0.34,87.49,6.31,94.07,6.87,0.34,87.49,7.41,2.91,0.29,0.34,0.3,0.34,0.12
2017.0,85,Casanare,88626.0,97.8,97.72,71.03,96.81,81.76,46.06,112.68,101.07,122.93,115.8,86.31,26656.0,15.69,2.68,2.98,2.19,3.38,2.31,92.41,0.08,94.05,3.38,93.71,4.91,0.08,94.05,7.89,3.98,2.09,0.08,1.73,3.25,1.38
2017.0,50,Meta,221844.0,90.9,90.88,56.86,88.87,76.9,43.9,102.17,85.35,108.98,105.72,85.89,31086.0,25.83,4.2,4.56,3.52,5.33,3.31,90.81,0.11,92.7,5.33,92.4,4.99,0.11,92.7,7.92,4.29,1.04,0.11,0.88,1.63,0.49
2016.0,18,Caquetá,124296.0,75.4,75.36,46.75,74.9,54.99,24.68,88.13,79.44,102.24,83.9,64.97,26515.0,11.9,6.88,7.22,5.92,8.78,5.29,91.69,0.18,92.88,8.78,92.55,1.43,0.18,92.88,1.96,2.16,2.2,0.18,2.16,2.97,1.0
2017.0,23,Córdoba,413883.0,88.8,88.72,53.75,84.35,73.01,42.2,101.31,96.9,108.19,102.8,82.44,21514.0,37.99,3.03,3.33,2.15,4.08,3.32,93.23,0.52,94.67,4.08,92.83,3.75,0.52,94.67,5.34,3.85,3.29,0.52,3.26,4.08,2.03
2017.0,47,Magdalena,327940.0,93.6,93.3,57.03,87.81,70.05,39.23,109.39,116.26,120.26,109.11,78.91,26.88,49.71,2.57,3.46,2.48,2.66,1.88,94.62,0.82,94.31,2.66,95.94,2.8,0.82,94.31,3.0,2.18,2.52,0.82,2.61,2.39,1.0
2017.0,66,Risaralda,181154.0,86.8,86.62,55.57,82.04,75.63,45.42,100.7,81.59,100.14,110.16,92.84,27947.0,40.26,4.82,5.84,3.74,6.39,3.59,89.34,0.77,92.19,6.39,92.05,5.84,0.77,92.19,9.59,4.36,2.4,0.77,2.14,3.42,1.27
2014.0,18,Caquetá,124473.0,79.36,79.33,46.22,79.56,57.15,23.36,91.71,80.82,108.91,88.44,59.22,28.64,10.89,4.23,4.34,3.85,4.84,4.27,95.67,0.0,96.1,4.84,94.95,0.1,0.0,96.1,0.05,0.78,1.18,0.0,0.98,1.91,0.91
2013.0,73,Tolima,317546.0,87.02,86.95,55.82,83.99,73.08,40.52,100.2,90.67,104.19,108.57,78.24,37.0,20.39,4.01,4.57,3.5,4.9,3.04,88.65,0.3,90.39,4.9,90.54,7.34,0.3,90.39,10.96,6.41,0.5,0.3,0.5,0.61,0.39
2014.0,41,Huila,270459.0,88.35,88.29,59.17,88.99,75.54,39.36,99.41,81.86,107.26,105.87,75.89,26.94,24.48,3.33,2.23,2.35,4.87,3.61,96.53,0.0,97.63,4.87,95.64,0.14,0.0,97.63,0.16,0.74,1.08,0.0,0.86,1.6,1.1
2016.0,73,Tolima,306395.0,84.7,84.59,49.33,82.47,71.2,44.23,95.33,79.58,101.85,98.73,80.13,25322.0,40.63,3.7,4.02,2.97,4.91,2.8,89.31,0.7,91.64,4.91,91.1,6.98,0.7,91.64,10.67,6.1,0.61,0.7,0.6,0.82,0.25
2015.0,54,Norte de Santander,310611.0,85.89,85.84,58.03,89.27,68.7,36.24,99.27,92.26,113.58,97.55,72.75,24.33,19.12,2.66,2.9,2.07,3.53,2.54,95.75,0.15,96.86,3.53,95.35,1.59,0.15,96.86,2.55,2.11,1.31,0.15,1.08,2.0,0.85
2014.0,19,Cauca,316362.0,84.6,84.58,45.54,86.0,64.65,31.39,105.48,83.07,117.29,109.27,80.85,21.34,42.74,4.54,1.67,3.8,6.25,4.91,95.33,0.0,96.17,6.25,94.12,0.12,0.0,96.17,0.01,0.97,1.2,0.0,1.05,1.78,1.01
